"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","kn"
"148","17.1","2",0.318181818181818,"n",0.259259259259259,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"149","18.6","2",0.259259259259259,"n",0.21875,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
"150","20","2",0.233333333333333,"n",0.2,0.0558427459756821,9,25.1,35,0.21890984291903,1.1
"151","7.1","0",0.166666666666667,"a",0.04,0.0919614095716752,2.5,17.3,25,0.0581388249819421,1.1
"152","8.5","0",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.1
"153","10","0",0,"a",0,0.203014489257965,0.9,25.4,17,0.112063315447455,1.1
"154","11.4","0",0.545454545454545,"a",0.260869565217391,0.117124123943492,2.9,25.7,23,0.138634548269411,1.1
"155","12.8","0",0.285714285714286,"a",0.08,0.105900808533378,3.7,26.3,25,0.15642671783744,1.1
"156","14.3","0",0,"a",0,0.130234430566142,3.1,29.7,23,0.184258591645921,1.1
"157","15.7","0",0,"a",0,0.0977824520532233,4.2,27.6,27,0.183034129130455,1.1
"158","17.1","0",0,"a",0,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"159","18.6","0",0,"a",0,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
"160","20","0",0,"a",0,0.0558427459756821,9,25.1,35,0.21890984291903,1.1
"161","7.1","1",0,"a",0,0.0919614095716752,2.5,17.3,25,0.0581388249819421,1.1
"162","8.5","1",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.1
"163","10","1",0,"a",0,0.203014489257965,0.9,25.4,17,0.112063315447455,1.1
"164","11.4","1",0.0909090909090909,"a",0.0434782608695652,0.117124123943492,2.9,25.7,23,0.138634548269411,1.1
"165","12.8","1",0,"a",0,0.105900808533378,3.7,26.3,25,0.15642671783744,1.1
"166","14.3","1",0,"a",0,0.130234430566142,3.1,29.7,23,0.184258591645921,1.1
"167","15.7","1",0,"a",0,0.0977824520532233,4.2,27.6,27,0.183034129130455,1.1
"168","17.1","1",0,"a",0,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"169","18.6","1",0,"a",0,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
"170","20","1",0,"a",0,0.0558427459756821,9,25.1,35,0.21890984291903,1.1
"171","7.1","2",0.833333333333333,"a",0.2,0.0919614095716752,2.5,17.3,25,0.0581388249819421,1.1
"172","8.5","2",1,"a",0.263157894736842,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.1
"173","10","2",1,"a",0.294117647058824,0.203014489257965,0.9,25.4,17,0.112063315447455,1.1
"174","11.4","2",0.363636363636364,"a",0.173913043478261,0.117124123943492,2.9,25.7,23,0.138634548269411,1.1
"175","12.8","2",0.714285714285714,"a",0.2,0.105900808533378,3.7,26.3,25,0.15642671783744,1.1
"176","14.3","2",1,"a",0.217391304347826,0.130234430566142,3.1,29.7,23,0.184258591645921,1.1
"177","15.7","2",1,"a",0.185185185185185,0.0977824520532233,4.2,27.6,27,0.183034129130455,1.1
"178","17.1","2",1,"a",0.185185185185185,0.10001210433743,4.6,29.3,27,0.203700559964864,1.1
"179","18.6","2",1,"a",0.15625,0.0689716778478233,7.1,26.9,32,0.211866187738025,1.1
"180","20","2",1,"a",0.142857142857143,0.0558427459756821,9,25.1,35,0.21890984291903,1.1
"181","7.1","0",0.6,"n",0.48,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"182","8.5","0",0.428571428571429,"n",0.315789473684211,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"183","10","0",0.578947368421053,"n",0.44,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"184","11.4","0",0.5,"n",0.423076923076923,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"185","12.8","0",0.6,"n",0.48,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"186","14.3","0",0.545454545454545,"n",0.461538461538462,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"187","15.7","0",0.68,"n",0.566666666666667,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"188","17.1","0",0.652173913043478,"n",0.535714285714286,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"189","18.6","0",0.733333333333333,"n",0.628571428571429,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"190","20","0",0.771428571428571,"n",0.675,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"191","7.1","1",0.05,"n",0.04,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"192","8.5","1",0.0714285714285714,"n",0.0526315789473684,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"193","10","1",0,"n",0,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"194","11.4","1",0.181818181818182,"n",0.153846153846154,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"195","12.8","1",0.05,"n",0.04,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"196","14.3","1",0.136363636363636,"n",0.115384615384615,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"197","15.7","1",0.04,"n",0.0333333333333333,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"198","17.1","1",0.0434782608695652,"n",0.0357142857142857,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"199","18.6","1",0.0333333333333333,"n",0.0285714285714286,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"200","20","1",0.0285714285714286,"n",0.025,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"201","7.1","2",0.35,"n",0.28,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"202","8.5","2",0.5,"n",0.368421052631579,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"203","10","2",0.421052631578947,"n",0.32,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"204","11.4","2",0.318181818181818,"n",0.269230769230769,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"205","12.8","2",0.35,"n",0.28,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"206","14.3","2",0.318181818181818,"n",0.269230769230769,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"207","15.7","2",0.28,"n",0.233333333333333,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"208","17.1","2",0.304347826086957,"n",0.25,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"209","18.6","2",0.233333333333333,"n",0.2,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"210","20","2",0.2,"n",0.175,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"211","7.1","0",0,"a",0,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"212","8.5","0",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"213","10","0",0.166666666666667,"a",0.04,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"214","11.4","0",0,"a",0,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"215","12.8","0",0,"a",0,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"216","14.3","0",0,"a",0,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"217","15.7","0",0,"a",0,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"218","17.1","0",0,"a",0,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"219","18.6","0",0,"a",0,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"220","20","0",0,"a",0,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"221","7.1","1",0,"a",0,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"222","8.5","1",0,"a",0,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"223","10","1",0.166666666666667,"a",0.04,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"224","11.4","1",0.25,"a",0.0384615384615385,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"225","12.8","1",0,"a",0,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"226","14.3","1",0,"a",0,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"227","15.7","1",0,"a",0,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"228","17.1","1",0,"a",0,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"229","18.6","1",0,"a",0,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"230","20","1",0,"a",0,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"231","7.1","2",1,"a",0.2,0.0930401890130747,2.5,17.3,25,0.0581388249819421,1.2
"232","8.5","2",1,"a",0.263157894736842,0.16478102360433,1.3,21.9,19,0.0831983826400026,1.2
"233","10","2",0.666666666666667,"a",0.16,0.10096390472759,2.8,22.2,25,0.104828335740565,1.2
"234","11.4","2",0.75,"a",0.115384615384615,0.0945098213775831,4.2,24.4,26,0.137256635097068,1.2
"235","12.8","2",1,"a",0.2,0.110099073525602,3.8,26.3,25,0.157102383106649,1.2
"236","14.3","2",1,"a",0.153846153846154,0.102901141969415,4.4,28,26,0.18180159202578,1.2
"237","15.7","2",1,"a",0.166666666666667,0.077493029146432,6.3,26.5,30,0.192587932536918,1.2
"238","17.1","2",1,"a",0.178571428571429,0.0927057332426763,6,30.2,28,0.217550925851053,1.2
"239","18.6","2",1,"a",0.142857142857143,0.0541933099099507,9.9,25,35,0.217550925851053,1.2
"240","20","2",1,"a",0.125,0.0382971632663333,12.9,20.3,40,0.215228457834925,1.2
"241","7.1","0",0.636363636363636,"n",0.583333333333333,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"242","8.5","0",0.571428571428571,"n",0.516129032258065,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"243","10","0",0.5,"n",0.444444444444444,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"244","11.4","0",0.545454545454545,"n",0.461538461538462,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"245","12.8","0",0.68,"n",0.566666666666667,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"246","14.3","0",0.652173913043478,"n",0.535714285714286,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"247","15.7","0",0.733333333333333,"n",0.628571428571429,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"248","17.1","0",0.818181818181818,"n",0.76271186440678,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"249","18.6","0",0.851851851851852,"n",0.779661016949153,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"250","20","0",0.851851851851852,"n",0.779661016949153,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"251","7.1","1",0.151515151515152,"n",0.138888888888889,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"252","8.5","1",0.178571428571429,"n",0.161290322580645,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"253","10","1",0.208333333333333,"n",0.185185185185185,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"254","11.4","1",0.136363636363636,"n",0.115384615384615,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"255","12.8","1",0.04,"n",0.0333333333333333,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"256","14.3","1",0.0434782608695652,"n",0.0357142857142857,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"257","15.7","1",0.0333333333333333,"n",0.0285714285714286,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"258","17.1","1",0.0545454545454545,"n",0.0508474576271186,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"259","18.6","1",0.0185185185185185,"n",0.0169491525423729,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"260","20","1",0.0185185185185185,"n",0.0169491525423729,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"261","7.1","2",0.212121212121212,"n",0.194444444444444,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"262","8.5","2",0.25,"n",0.225806451612903,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"263","10","2",0.291666666666667,"n",0.259259259259259,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"264","11.4","2",0.318181818181818,"n",0.269230769230769,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"265","12.8","2",0.28,"n",0.233333333333333,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"266","14.3","2",0.304347826086957,"n",0.25,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"267","15.7","2",0.233333333333333,"n",0.2,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"268","17.1","2",0.127272727272727,"n",0.11864406779661,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"269","18.6","2",0.12962962962963,"n",0.11864406779661,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"270","20","2",0.12962962962963,"n",0.11864406779661,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"271","7.1","0",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"272","8.5","0",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"273","10","0",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"274","11.4","0",0,"a",0,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"275","12.8","0",0,"a",0,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"276","14.3","0",0,"a",0,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"277","15.7","0",0,"a",0,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"278","17.1","0",0,"a",0,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"279","18.6","0",0,"a",0,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"280","20","0",0,"a",0,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"281","7.1","1",0,"a",0,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"282","8.5","1",0,"a",0,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"283","10","1",0,"a",0,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"284","11.4","1",0,"a",0,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"285","12.8","1",0,"a",0,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"286","14.3","1",0,"a",0,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"287","15.7","1",0,"a",0,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"288","17.1","1",0,"a",0,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"289","18.6","1",0,"a",0,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"290","20","1",0,"a",0,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
"291","7.1","2",1,"a",0.0833333333333333,0.0351654643962397,5.6,12.8,36,0.0519611223828166,1.3
"292","8.5","2",1,"a",0.0967741935483871,0.0574448132072585,4.8,17.4,31,0.0774996901503023,1.3
"293","10","2",1,"a",0.111111111111111,0.0851740197641718,4.3,22,27,0.112063315447455,1.3
"294","11.4","2",1,"a",0.153846153846154,0.0975313291495229,4.2,24.4,26,0.137256635097068,1.3
"295","12.8","2",1,"a",0.166666666666667,0.0734807024565158,6,23.5,30,0.153035207978953,1.3
"296","14.3","2",1,"a",0.178571428571429,0.0891714273953147,5.7,27.1,28,0.184258591645921,1.3
"297","15.7","2",1,"a",0.142857142857143,0.0527245128719696,9.7,22.9,35,0.191424223305194,1.3
"298","17.1","2",1,"a",0.0677966101694915,0.00844894174837575,26.7,0,59,0.162498431717372,1.3
"299","18.6","2",1,"a",0.0847457627118644,0.00890637306451266,28.1,0,59,0.179341165253211,1.3
"300","20","2",1,"a",0.0847457627118644,0.0091132135123259,29.8,0,59,0.199404034954092,1.3
