"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","Fit","qa","qn","qn_qa"
"1","7.1","0",0.619047619047619,"n",0.5,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"2","8.5","0",0.6,"n",0.48,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"3","10","0",0.6,"n",0.48,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"4","11.4","0",0.6,"n",0.48,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"5","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"6","14.3","0",0.545454545454545,"n",0.461538461538462,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"7","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"8","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"9","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"10","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"11","7.1","1",0,"n",0,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"12","8.5","1",0,"n",0,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"13","10","1",0,"n",0,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"14","11.4","1",0,"n",0,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"15","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"16","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"17","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"18","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"19","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"20","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"21","7.1","2",0.380952380952381,"n",0.307692307692308,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"22","8.5","2",0.4,"n",0.32,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"23","10","2",0.4,"n",0.32,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"24","11.4","2",0.4,"n",0.32,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"25","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"26","14.3","2",0.363636363636364,"n",0.307692307692308,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"27","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"28","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"29","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"30","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"31","7.1","0",0,"a",0,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"32","8.5","0",0,"a",0,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"33","10","0",0,"a",0,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"34","11.4","0",0,"a",0,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"35","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"36","14.3","0",0,"a",0,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"37","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"38","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"39","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"40","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"41","7.1","1",0,"a",0,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"42","8.5","1",0,"a",0,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"43","10","1",0,"a",0,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"44","11.4","1",0,"a",0,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"45","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"46","14.3","1",0,"a",0,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"47","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"48","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"49","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"50","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"51","7.1","2",1,"a",0.192307692307692,0.0797136571941524,3.4,13.8,26,0.00986958497301749,0.5,1,2
"52","8.5","2",1,"a",0.2,0.0880958824485456,3.2,14.3,25,0.00996711226403505,0.5,1,2
"53","10","2",1,"a",0.2,0.0885311075984768,3.2,14.3,25,0.0100655292875077,0.5,1,2
"54","11.4","2",1,"a",0.2,0.0889603268756604,3.2,14.4,25,0.0102631153053862,0.5,1,2
"55","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.5,1,2
"56","14.3","2",1,"a",0.153846153846154,0.0807651592159544,3.4,14.4,26,0.0104663419582044,0.5,1,2
"57","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.5,1,2
"58","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.0106732912198838,0.5,1,2
"59","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.5,1,2
"60","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.0108840305426691,0.5,1,2
"61","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"62","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"63","10","0",0.6,"n",0.48,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"64","11.4","0",0.6,"n",0.48,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"65","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"66","14.3","0",0.545454545454545,"n",0.461538461538462,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"67","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"68","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"69","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"70","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"71","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"72","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"73","10","1",0,"n",0,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"74","11.4","1",0,"n",0,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"75","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"76","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"77","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"78","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"79","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"80","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"81","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"82","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"83","10","2",0.4,"n",0.32,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"84","11.4","2",0.4,"n",0.32,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"85","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"86","14.3","2",0.363636363636364,"n",0.307692307692308,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"87","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"88","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"89","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"90","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"91","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"92","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"93","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"94","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"95","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"96","14.3","0",0,"a",0,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"97","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"98","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"99","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"100","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"101","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"102","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"103","10","1",0.2,"a",0.04,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"104","11.4","1",0.2,"a",0.04,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"105","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"106","14.3","1",0.25,"a",0.0384615384615385,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"107","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"108","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"109","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"110","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"111","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.6,1,1.66666666666667
"112","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.6,1,1.66666666666667
"113","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.6,1,1.66666666666667
"114","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.6,1,1.66666666666667
"115","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.6,1,1.66666666666667
"116","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.6,1,1.66666666666667
"117","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.6,1,1.66666666666667
"118","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.0106732912198838,0.6,1,1.66666666666667
"119","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.6,1,1.66666666666667
"120","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.0108840305426691,0.6,1,1.66666666666667
"121","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"122","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"123","10","0",0.6,"n",0.48,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"124","11.4","0",0.6,"n",0.48,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"125","12.8","0",0.6,"n",0.48,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"126","14.3","0",0.545454545454545,"n",0.461538461538462,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"127","15.7","0",0.428571428571429,"n",0.375,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"128","17.1","0",0.454545454545455,"n",0.4,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"129","18.6","0",0.428571428571429,"n",0.375,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"130","20","0",0.454545454545455,"n",0.4,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"131","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"132","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"133","10","1",0,"n",0,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"134","11.4","1",0,"n",0,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"135","12.8","1",0.05,"n",0.04,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"136","14.3","1",0.0909090909090909,"n",0.0769230769230769,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"137","15.7","1",0.238095238095238,"n",0.208333333333333,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"138","17.1","1",0.227272727272727,"n",0.2,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"139","18.6","1",0.238095238095238,"n",0.208333333333333,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"140","20","1",0.227272727272727,"n",0.2,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"141","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"142","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"143","10","2",0.4,"n",0.32,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"144","11.4","2",0.4,"n",0.32,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"145","12.8","2",0.35,"n",0.28,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"146","14.3","2",0.363636363636364,"n",0.307692307692308,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"147","15.7","2",0.333333333333333,"n",0.291666666666667,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"148","17.1","2",0.318181818181818,"n",0.28,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"149","18.6","2",0.333333333333333,"n",0.291666666666667,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"150","20","2",0.318181818181818,"n",0.28,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"151","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"152","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"153","10","0",0,"a",0,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"154","11.4","0",0,"a",0,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"155","12.8","0",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"156","14.3","0",0,"a",0,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"157","15.7","0",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"158","17.1","0",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"159","18.6","0",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"160","20","0",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"161","7.1","1",0,"a",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"162","8.5","1",0.2,"a",0.04,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"163","10","1",0.2,"a",0.04,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"164","11.4","1",0.2,"a",0.04,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"165","12.8","1",0,"a",0,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"166","14.3","1",0.25,"a",0.0384615384615385,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"167","15.7","1",0,"a",0,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"168","17.1","1",0,"a",0,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"169","18.6","1",0,"a",0,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"170","20","1",0,"a",0,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"171","7.1","2",1,"a",0.2,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.7,1,1.42857142857143
"172","8.5","2",0.8,"a",0.16,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.7,1,1.42857142857143
"173","10","2",0.8,"a",0.16,0.0874691537794986,3.2,14.3,25,0.0100655292875077,0.7,1,1.42857142857143
"174","11.4","2",0.8,"a",0.16,0.0878932347270126,3.2,14.4,25,0.0102631153053862,0.7,1,1.42857142857143
"175","12.8","2",1,"a",0.2,0.0883121747025667,3.2,14.6,25,0.0103642675006198,0.7,1,1.42857142857143
"176","14.3","2",0.75,"a",0.115384615384615,0.0797963874394652,3.4,14.4,26,0.0104663419582044,0.7,1,1.42857142857143
"177","15.7","2",1,"a",0.125,0.0955652587144869,3.5,15.1,24,0.0105693470598451,0.7,1,1.42857142857143
"178","17.1","2",1,"a",0.12,0.0874000858591923,3.7,15,25,0.0106732912198838,0.7,1,1.42857142857143
"179","18.6","2",1,"a",0.125,0.0963869011273017,3.5,15.3,24,0.0107781828864733,0.7,1,1.42857142857143
"180","20","2",1,"a",0.12,0.0881693572914608,3.7,15,25,0.0108840305426691,0.7,1,1.42857142857143
"181","7.1","0",0.6,"n",0.48,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.8,1,1.25
"182","8.5","0",0.6,"n",0.48,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.8,1,1.25
"183","10","0",0.619047619047619,"n",0.5,0.0805429061914457,3.4,14,26,0.0100655292875077,0.8,1,1.25
"184","11.4","0",0.619047619047619,"n",0.5,0.0809490538749275,3.4,14.1,26,0.0102631153053862,0.8,1,1.25
"185","12.8","0",0.67741935483871,"n",0.6,0.034021890894395,5.2,10.3,35,0.0103642675006198,0.8,1,1.25
"186","14.3","0",0.67741935483871,"n",0.6,0.0342446598365634,5.2,10.4,35,0.0104663419582044,0.8,1,1.25
"187","15.7","0",0.52,"n",0.464285714285714,0.0656644593717872,4.2,13.6,28,0.0105693470598451,0.8,1,1.25
"188","17.1","0",0.52,"n",0.464285714285714,0.0659965673792545,4.3,13.8,28,0.0106732912198838,0.8,1,1.25
"189","18.6","0",0.62962962962963,"n",0.548387096774194,0.0507163914112669,4.7,12.5,31,0.0107781828864733,0.8,1,1.25
"190","20","0",0.52,"n",0.464285714285714,0.0666470012062819,4.2,13.8,28,0.0108840305426691,0.8,1,1.25
"191","7.1","1",0,"n",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.8,1,1.25
"192","8.5","1",0,"n",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.8,1,1.25
"193","10","1",0,"n",0,0.0805429061914457,3.4,14,26,0.0100655292875077,0.8,1,1.25
"194","11.4","1",0,"n",0,0.0809490538749275,3.4,14.1,26,0.0102631153053862,0.8,1,1.25
"195","12.8","1",0.0645161290322581,"n",0.0571428571428571,0.034021890894395,5.2,10.3,35,0.0103642675006198,0.8,1,1.25
"196","14.3","1",0.0645161290322581,"n",0.0571428571428571,0.0342446598365634,5.2,10.4,35,0.0104663419582044,0.8,1,1.25
"197","15.7","1",0.16,"n",0.142857142857143,0.0656644593717872,4.2,13.6,28,0.0105693470598451,0.8,1,1.25
"198","17.1","1",0.2,"n",0.178571428571429,0.0659965673792545,4.3,13.8,28,0.0106732912198838,0.8,1,1.25
"199","18.6","1",0.111111111111111,"n",0.0967741935483871,0.0507163914112669,4.7,12.5,31,0.0107781828864733,0.8,1,1.25
"200","20","1",0.16,"n",0.142857142857143,0.0666470012062819,4.2,13.8,28,0.0108840305426691,0.8,1,1.25
"201","7.1","2",0.4,"n",0.32,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.8,1,1.25
"202","8.5","2",0.4,"n",0.32,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.8,1,1.25
"203","10","2",0.380952380952381,"n",0.307692307692308,0.0805429061914457,3.4,14,26,0.0100655292875077,0.8,1,1.25
"204","11.4","2",0.380952380952381,"n",0.307692307692308,0.0809490538749275,3.4,14.1,26,0.0102631153053862,0.8,1,1.25
"205","12.8","2",0.258064516129032,"n",0.228571428571429,0.034021890894395,5.2,10.3,35,0.0103642675006198,0.8,1,1.25
"206","14.3","2",0.258064516129032,"n",0.228571428571429,0.0342446598365634,5.2,10.4,35,0.0104663419582044,0.8,1,1.25
"207","15.7","2",0.32,"n",0.285714285714286,0.0656644593717872,4.2,13.6,28,0.0105693470598451,0.8,1,1.25
"208","17.1","2",0.28,"n",0.25,0.0659965673792545,4.3,13.8,28,0.0106732912198838,0.8,1,1.25
"209","18.6","2",0.259259259259259,"n",0.225806451612903,0.0507163914112669,4.7,12.5,31,0.0107781828864733,0.8,1,1.25
"210","20","2",0.32,"n",0.285714285714286,0.0666470012062819,4.2,13.8,28,0.0108840305426691,0.8,1,1.25
"211","7.1","0",0,"a",0,0.0876544933811112,3.2,14.1,25,0.00986958497301749,0.8,1,1.25
"212","8.5","0",0,"a",0,0.0870391389081885,3.2,14.3,25,0.00996711226403505,0.8,1,1.25
"213","10","0",0,"a",0,0.0805429061914457,3.4,14,26,0.0100655292875077,0.8,1,1.25
"214","11.4","0",0,"a",0,0.0809490538749275,3.4,14.1,26,0.0102631153053862,0.8,1,1.25
"215","12.8","0",0,"a",0,0.034021890894395,5.2,10.3,35,0.0103642675006198,0.8,1,1.25
