"","Wstart","Beh","p","h","p.tot","S.cum.riv","G.riv","G.ocean","dur","yn"
"1","7.1","0",0.785714285714286,"n",0.745762711864407,0.424145261584047,10,0,59,0.1
"2","8.5","0",0.785714285714286,"n",0.745762711864407,0.424878855551232,10,0,59,0.1
"3","10","0",0.785714285714286,"n",0.745762711864407,0.425599848043941,10,0,59,0.1
"4","11.4","0",0.785714285714286,"n",0.745762711864407,0.426308617687383,10,0,59,0.1
"5","12.8","0",0.785714285714286,"n",0.745762711864407,0.427005526940244,10,0,59,0.1
"6","14.3","0",0.785714285714286,"n",0.745762711864407,0.427690922985143,10,0,59,0.1
"7","15.7","0",0.767857142857143,"n",0.728813559322034,0.426818106797805,10.6,0,59,0.1
"8","17.1","0",0.767857142857143,"n",0.728813559322034,0.427479079193797,10.6,0,59,0.1
"9","18.6","0",0.767857142857143,"n",0.728813559322034,0.428129534228506,10.6,0,59,0.1
"10","20","0",0.767857142857143,"n",0.728813559322034,0.428769764701016,10.6,0,59,0.1
"11","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.424145261584047,10,0,59,0.1
"12","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.424878855551232,10,0,59,0.1
"13","10","1",0.0714285714285714,"n",0.0677966101694915,0.425599848043941,10,0,59,0.1
"14","11.4","1",0.0714285714285714,"n",0.0677966101694915,0.426308617687383,10,0,59,0.1
"15","12.8","1",0.0714285714285714,"n",0.0677966101694915,0.427005526940244,10,0,59,0.1
"16","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.427690922985143,10,0,59,0.1
"17","15.7","1",0.125,"n",0.11864406779661,0.426818106797805,10.6,0,59,0.1
"18","17.1","1",0.125,"n",0.11864406779661,0.427479079193797,10.6,0,59,0.1
"19","18.6","1",0.125,"n",0.11864406779661,0.428129534228506,10.6,0,59,0.1
"20","20","1",0.125,"n",0.11864406779661,0.428769764701016,10.6,0,59,0.1
"21","7.1","2",0.142857142857143,"n",0.135593220338983,0.424145261584047,10,0,59,0.1
"22","8.5","2",0.142857142857143,"n",0.135593220338983,0.424878855551232,10,0,59,0.1
"23","10","2",0.142857142857143,"n",0.135593220338983,0.425599848043941,10,0,59,0.1
"24","11.4","2",0.142857142857143,"n",0.135593220338983,0.426308617687383,10,0,59,0.1
"25","12.8","2",0.142857142857143,"n",0.135593220338983,0.427005526940244,10,0,59,0.1
"26","14.3","2",0.142857142857143,"n",0.135593220338983,0.427690922985143,10,0,59,0.1
"27","15.7","2",0.107142857142857,"n",0.101694915254237,0.426818106797805,10.6,0,59,0.1
"28","17.1","2",0.107142857142857,"n",0.101694915254237,0.427479079193797,10.6,0,59,0.1
"29","18.6","2",0.107142857142857,"n",0.101694915254237,0.428129534228506,10.6,0,59,0.1
"30","20","2",0.107142857142857,"n",0.101694915254237,0.428769764701016,10.6,0,59,0.1
"31","7.1","0",0,"a",0,0.424145261584047,10,0,59,0.1
"32","8.5","0",0,"a",0,0.424878855551232,10,0,59,0.1
"33","10","0",0,"a",0,0.425599848043941,10,0,59,0.1
"34","11.4","0",0,"a",0,0.426308617687383,10,0,59,0.1
"35","12.8","0",0,"a",0,0.427005526940244,10,0,59,0.1
"36","14.3","0",0,"a",0,0.427690922985143,10,0,59,0.1
"37","15.7","0",0,"a",0,0.426818106797805,10.6,0,59,0.1
"38","17.1","0",0,"a",0,0.427479079193797,10.6,0,59,0.1
"39","18.6","0",0,"a",0,0.428129534228506,10.6,0,59,0.1
"40","20","0",0,"a",0,0.428769764701016,10.6,0,59,0.1
"41","7.1","1",0,"a",0,0.424145261584047,10,0,59,0.1
"42","8.5","1",0,"a",0,0.424878855551232,10,0,59,0.1
"43","10","1",0,"a",0,0.425599848043941,10,0,59,0.1
"44","11.4","1",0,"a",0,0.426308617687383,10,0,59,0.1
"45","12.8","1",0,"a",0,0.427005526940244,10,0,59,0.1
"46","14.3","1",0,"a",0,0.427690922985143,10,0,59,0.1
"47","15.7","1",0,"a",0,0.426818106797805,10.6,0,59,0.1
"48","17.1","1",0,"a",0,0.427479079193797,10.6,0,59,0.1
"49","18.6","1",0,"a",0,0.428129534228506,10.6,0,59,0.1
"50","20","1",0,"a",0,0.428769764701016,10.6,0,59,0.1
"51","7.1","2",1,"a",0.0508474576271186,0.424145261584047,10,0,59,0.1
"52","8.5","2",1,"a",0.0508474576271186,0.424878855551232,10,0,59,0.1
"53","10","2",1,"a",0.0508474576271186,0.425599848043941,10,0,59,0.1
"54","11.4","2",1,"a",0.0508474576271186,0.426308617687383,10,0,59,0.1
"55","12.8","2",1,"a",0.0508474576271186,0.427005526940244,10,0,59,0.1
"56","14.3","2",1,"a",0.0508474576271186,0.427690922985143,10,0,59,0.1
"57","15.7","2",1,"a",0.0508474576271186,0.426818106797805,10.6,0,59,0.1
"58","17.1","2",1,"a",0.0508474576271186,0.427479079193797,10.6,0,59,0.1
"59","18.6","2",1,"a",0.0508474576271186,0.428129534228506,10.6,0,59,0.1
"60","20","2",1,"a",0.0508474576271186,0.428769764701016,10.6,0,59,0.1
"61","7.1","0",0.785714285714286,"n",0.745762711864407,0.145017379734396,10,0,59,0.3
"62","8.5","0",0.785714285714286,"n",0.745762711864407,0.145595434207689,10,0,59,0.3
"63","10","0",0.785714285714286,"n",0.745762711864407,0.146164826702518,10,0,59,0.3
"64","11.4","0",0.785714285714286,"n",0.745762711864407,0.146725791944795,10,0,59,0.3
"65","12.8","0",0.785714285714286,"n",0.745762711864407,0.147278555462145,10,0,59,0.3
"66","14.3","0",0.785714285714286,"n",0.745762711864407,0.147823334054032,10,0,59,0.3
"67","15.7","0",0.767857142857143,"n",0.728813559322034,0.146758733560644,10.6,0,59,0.3
"68","17.1","0",0.767857142857143,"n",0.728813559322034,0.147282458999165,10.6,0,59,0.3
"69","18.6","0",0.767857142857143,"n",0.728813559322034,0.147798881360647,10.6,0,59,0.3
"70","20","0",0.767857142857143,"n",0.728813559322034,0.14830818466921,10.6,0,59,0.3
"71","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.145017379734396,10,0,59,0.3
"72","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.145595434207689,10,0,59,0.3
"73","10","1",0.0714285714285714,"n",0.0677966101694915,0.146164826702518,10,0,59,0.3
"74","11.4","1",0.0714285714285714,"n",0.0677966101694915,0.146725791944795,10,0,59,0.3
"75","12.8","1",0.0714285714285714,"n",0.0677966101694915,0.147278555462145,10,0,59,0.3
"76","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.147823334054032,10,0,59,0.3
"77","15.7","1",0.125,"n",0.11864406779661,0.146758733560644,10.6,0,59,0.3
"78","17.1","1",0.125,"n",0.11864406779661,0.147282458999165,10.6,0,59,0.3
"79","18.6","1",0.125,"n",0.11864406779661,0.147798881360647,10.6,0,59,0.3
"80","20","1",0.125,"n",0.11864406779661,0.14830818466921,10.6,0,59,0.3
"81","7.1","2",0.142857142857143,"n",0.135593220338983,0.145017379734396,10,0,59,0.3
"82","8.5","2",0.142857142857143,"n",0.135593220338983,0.145595434207689,10,0,59,0.3
"83","10","2",0.142857142857143,"n",0.135593220338983,0.146164826702518,10,0,59,0.3
"84","11.4","2",0.142857142857143,"n",0.135593220338983,0.146725791944795,10,0,59,0.3
"85","12.8","2",0.142857142857143,"n",0.135593220338983,0.147278555462145,10,0,59,0.3
"86","14.3","2",0.142857142857143,"n",0.135593220338983,0.147823334054032,10,0,59,0.3
"87","15.7","2",0.107142857142857,"n",0.101694915254237,0.146758733560644,10.6,0,59,0.3
"88","17.1","2",0.107142857142857,"n",0.101694915254237,0.147282458999165,10.6,0,59,0.3
"89","18.6","2",0.107142857142857,"n",0.101694915254237,0.147798881360647,10.6,0,59,0.3
"90","20","2",0.107142857142857,"n",0.101694915254237,0.14830818466921,10.6,0,59,0.3
"91","7.1","0",0,"a",0,0.145017379734396,10,0,59,0.3
"92","8.5","0",0,"a",0,0.145595434207689,10,0,59,0.3
"93","10","0",0,"a",0,0.146164826702518,10,0,59,0.3
"94","11.4","0",0,"a",0,0.146725791944795,10,0,59,0.3
"95","12.8","0",0,"a",0,0.147278555462145,10,0,59,0.3
"96","14.3","0",0,"a",0,0.147823334054032,10,0,59,0.3
"97","15.7","0",0,"a",0,0.146758733560644,10.6,0,59,0.3
"98","17.1","0",0,"a",0,0.147282458999165,10.6,0,59,0.3
"99","18.6","0",0,"a",0,0.147798881360647,10.6,0,59,0.3
"100","20","0",0,"a",0,0.14830818466921,10.6,0,59,0.3
"101","7.1","1",0,"a",0,0.145017379734396,10,0,59,0.3
"102","8.5","1",0,"a",0,0.145595434207689,10,0,59,0.3
"103","10","1",0,"a",0,0.146164826702518,10,0,59,0.3
"104","11.4","1",0,"a",0,0.146725791944795,10,0,59,0.3
"105","12.8","1",0,"a",0,0.147278555462145,10,0,59,0.3
"106","14.3","1",0,"a",0,0.147823334054032,10,0,59,0.3
"107","15.7","1",0,"a",0,0.146758733560644,10.6,0,59,0.3
"108","17.1","1",0,"a",0,0.147282458999165,10.6,0,59,0.3
"109","18.6","1",0,"a",0,0.147798881360647,10.6,0,59,0.3
"110","20","1",0,"a",0,0.14830818466921,10.6,0,59,0.3
"111","7.1","2",1,"a",0.0508474576271186,0.145017379734396,10,0,59,0.3
"112","8.5","2",1,"a",0.0508474576271186,0.145595434207689,10,0,59,0.3
"113","10","2",1,"a",0.0508474576271186,0.146164826702518,10,0,59,0.3
"114","11.4","2",1,"a",0.0508474576271186,0.146725791944795,10,0,59,0.3
"115","12.8","2",1,"a",0.0508474576271186,0.147278555462145,10,0,59,0.3
"116","14.3","2",1,"a",0.0508474576271186,0.147823334054032,10,0,59,0.3
"117","15.7","2",1,"a",0.0508474576271186,0.146758733560644,10.6,0,59,0.3
"118","17.1","2",1,"a",0.0508474576271186,0.147282458999165,10.6,0,59,0.3
"119","18.6","2",1,"a",0.0508474576271186,0.147798881360647,10.6,0,59,0.3
"120","20","2",1,"a",0.0508474576271186,0.14830818466921,10.6,0,59,0.3
"121","7.1","0",0.785714285714286,"n",0.745762711864407,0.0495821651914471,10,0,59,0.5
"122","8.5","0",0.785714285714286,"n",0.745762711864407,0.0498919402205212,10,0,59,0.5
"123","10","0",0.785714285714286,"n",0.745762711864407,0.0501977542124765,10,0,59,0.5
"124","11.4","0",0.785714285714286,"n",0.745762711864407,0.0504997016917319,10,0,59,0.5
"125","12.8","0",0.785714285714286,"n",0.745762711864407,0.0507978738693275,10,0,59,0.5
"126","14.3","0",0.785714285714286,"n",0.745762711864407,0.0510923587957677,10,0,59,0.5
"127","15.7","0",0.785714285714286,"n",0.745762711864407,0.0510743314692703,10.5,0,59,0.5
"128","17.1","0",0.785714285714286,"n",0.745762711864407,0.0513599693111643,10.5,0,59,0.5
"129","18.6","0",0.767857142857143,"n",0.728813559322034,0.0510231310503318,10.6,0,59,0.5
"130","20","0",0.785714285714286,"n",0.745762711864407,0.0519210613204036,10.5,0,59,0.5
"131","7.1","1",0.0714285714285714,"n",0.0677966101694915,0.0495821651914471,10,0,59,0.5
"132","8.5","1",0.0714285714285714,"n",0.0677966101694915,0.0498919402205212,10,0,59,0.5
"133","10","1",0.0714285714285714,"n",0.0677966101694915,0.0501977542124765,10,0,59,0.5
"134","11.4","1",0.0714285714285714,"n",0.0677966101694915,0.0504997016917319,10,0,59,0.5
"135","12.8","1",0.0714285714285714,"n",0.0677966101694915,0.0507978738693275,10,0,59,0.5
"136","14.3","1",0.0714285714285714,"n",0.0677966101694915,0.0510923587957677,10,0,59,0.5
"137","15.7","1",0.0892857142857143,"n",0.0847457627118644,0.0510743314692703,10.5,0,59,0.5
"138","17.1","1",0.0892857142857143,"n",0.0847457627118644,0.0513599693111643,10.5,0,59,0.5
"139","18.6","1",0.125,"n",0.11864406779661,0.0510231310503318,10.6,0,59,0.5
"140","20","1",0.0892857142857143,"n",0.0847457627118644,0.0519210613204036,10.5,0,59,0.5
"141","7.1","2",0.142857142857143,"n",0.135593220338983,0.0495821651914471,10,0,59,0.5
"142","8.5","2",0.142857142857143,"n",0.135593220338983,0.0498919402205212,10,0,59,0.5
"143","10","2",0.142857142857143,"n",0.135593220338983,0.0501977542124765,10,0,59,0.5
"144","11.4","2",0.142857142857143,"n",0.135593220338983,0.0504997016917319,10,0,59,0.5
"145","12.8","2",0.142857142857143,"n",0.135593220338983,0.0507978738693275,10,0,59,0.5
"146","14.3","2",0.142857142857143,"n",0.135593220338983,0.0510923587957677,10,0,59,0.5
"147","15.7","2",0.125,"n",0.11864406779661,0.0510743314692703,10.5,0,59,0.5
"148","17.1","2",0.125,"n",0.11864406779661,0.0513599693111643,10.5,0,59,0.5
"149","18.6","2",0.107142857142857,"n",0.101694915254237,0.0510231310503318,10.6,0,59,0.5
"150","20","2",0.125,"n",0.11864406779661,0.0519210613204036,10.5,0,59,0.5
"151","7.1","0",0,"a",0,0.0495821651914471,10,0,59,0.5
"152","8.5","0",0,"a",0,0.0498919402205212,10,0,59,0.5
"153","10","0",0,"a",0,0.0501977542124765,10,0,59,0.5
"154","11.4","0",0,"a",0,0.0504997016917319,10,0,59,0.5
"155","12.8","0",0,"a",0,0.0507978738693275,10,0,59,0.5
"156","14.3","0",0,"a",0,0.0510923587957677,10,0,59,0.5
"157","15.7","0",0,"a",0,0.0510743314692703,10.5,0,59,0.5
"158","17.1","0",0,"a",0,0.0513599693111643,10.5,0,59,0.5
"159","18.6","0",0,"a",0,0.0510231310503318,10.6,0,59,0.5
"160","20","0",0,"a",0,0.0519210613204036,10.5,0,59,0.5
"161","7.1","1",0,"a",0,0.0495821651914471,10,0,59,0.5
"162","8.5","1",0,"a",0,0.0498919402205212,10,0,59,0.5
"163","10","1",0,"a",0,0.0501977542124765,10,0,59,0.5
"164","11.4","1",0,"a",0,0.0504997016917319,10,0,59,0.5
"165","12.8","1",0,"a",0,0.0507978738693275,10,0,59,0.5
"166","14.3","1",0,"a",0,0.0510923587957677,10,0,59,0.5
"167","15.7","1",0,"a",0,0.0510743314692703,10.5,0,59,0.5
"168","17.1","1",0,"a",0,0.0513599693111643,10.5,0,59,0.5
"169","18.6","1",0,"a",0,0.0510231310503318,10.6,0,59,0.5
"170","20","1",0,"a",0,0.0519210613204036,10.5,0,59,0.5
"171","7.1","2",1,"a",0.0508474576271186,0.0495821651914471,10,0,59,0.5
"172","8.5","2",1,"a",0.0508474576271186,0.0498919402205212,10,0,59,0.5
"173","10","2",1,"a",0.0508474576271186,0.0501977542124765,10,0,59,0.5
"174","11.4","2",1,"a",0.0508474576271186,0.0504997016917319,10,0,59,0.5
"175","12.8","2",1,"a",0.0508474576271186,0.0507978738693275,10,0,59,0.5
"176","14.3","2",1,"a",0.0508474576271186,0.0510923587957677,10,0,59,0.5
"177","15.7","2",1,"a",0.0508474576271186,0.0510743314692703,10.5,0,59,0.5
"178","17.1","2",1,"a",0.0508474576271186,0.0513599693111643,10.5,0,59,0.5
"179","18.6","2",1,"a",0.0508474576271186,0.0510231310503318,10.6,0,59,0.5
"180","20","2",1,"a",0.0508474576271186,0.0519210613204036,10.5,0,59,0.5
"181","7.1","0",0.642857142857143,"n",0.5625,0.0984409892589468,4.6,11.4,32,0.7
"182","8.5","0",0.703703703703704,"n",0.59375,0.09777441660501,4.6,11.6,32,0.7
"183","10","0",0.696969696969697,"n",0.621621621621622,0.0713700065492094,5.6,9.1,37,0.7
"184","11.4","0",0.696969696969697,"n",0.621621621621622,0.0717451748555106,5.6,9.2,37,0.7
"185","12.8","0",0.785714285714286,"n",0.745762711864407,0.0175207040940007,10,0,59,0.7
"186","14.3","0",0.655172413793103,"n",0.575757575757576,0.094302191958129,4.8,11.4,33,0.7
"187","15.7","0",0.535714285714286,"n",0.483870967741935,0.109109377673902,5,12.4,31,0.7
"188","17.1","0",0.555555555555556,"n",0.5,0.118966606394572,4.7,13,30,0.7
"189","18.6","0",0.538461538461538,"n",0.482758620689655,0.127502053066834,4.5,13.4,29,0.7
"190","20","0",0.571428571428571,"n",0.516129032258065,0.112305496117299,4.9,12.5,31,0.7
"191","7.1","1",0.0714285714285714,"n",0.0625,0.0984409892589468,4.6,11.4,32,0.7
"192","8.5","1",0,"n",0,0.09777441660501,4.6,11.6,32,0.7
"193","10","1",0.0606060606060606,"n",0.0540540540540541,0.0713700065492094,5.6,9.1,37,0.7
"194","11.4","1",0.0606060606060606,"n",0.0540540540540541,0.0717451748555106,5.6,9.2,37,0.7
"195","12.8","1",0.0714285714285714,"n",0.0677966101694915,0.0175207040940007,10,0,59,0.7
"196","14.3","1",0.0689655172413793,"n",0.0606060606060606,0.094302191958129,4.8,11.4,33,0.7
"197","15.7","1",0.25,"n",0.225806451612903,0.109109377673902,5,12.4,31,0.7
"198","17.1","1",0.185185185185185,"n",0.166666666666667,0.118966606394572,4.7,13,30,0.7
"199","18.6","1",0.192307692307692,"n",0.172413793103448,0.127502053066834,4.5,13.4,29,0.7
"200","20","1",0.178571428571429,"n",0.161290322580645,0.112305496117299,4.9,12.5,31,0.7
"201","7.1","2",0.285714285714286,"n",0.25,0.0984409892589468,4.6,11.4,32,0.7
"202","8.5","2",0.296296296296296,"n",0.25,0.09777441660501,4.6,11.6,32,0.7
"203","10","2",0.242424242424242,"n",0.216216216216216,0.0713700065492094,5.6,9.1,37,0.7
"204","11.4","2",0.242424242424242,"n",0.216216216216216,0.0717451748555106,5.6,9.2,37,0.7
"205","12.8","2",0.142857142857143,"n",0.135593220338983,0.0175207040940007,10,0,59,0.7
"206","14.3","2",0.275862068965517,"n",0.242424242424242,0.094302191958129,4.8,11.4,33,0.7
"207","15.7","2",0.214285714285714,"n",0.193548387096774,0.109109377673902,5,12.4,31,0.7
"208","17.1","2",0.259259259259259,"n",0.233333333333333,0.118966606394572,4.7,13,30,0.7
"209","18.6","2",0.269230769230769,"n",0.241379310344828,0.127502053066834,4.5,13.4,29,0.7
"210","20","2",0.25,"n",0.225806451612903,0.112305496117299,4.9,12.5,31,0.7
"211","7.1","0",0,"a",0,0.0984409892589468,4.6,11.4,32,0.7
"212","8.5","0",0,"a",0,0.09777441660501,4.6,11.6,32,0.7
"213","10","0",0,"a",0,0.0713700065492094,5.6,9.1,37,0.7
"214","11.4","0",0,"a",0,0.0717451748555106,5.6,9.2,37,0.7
"215","12.8","0",0,"a",0,0.0175207040940007,10,0,59,0.7
"216","14.3","0",0,"a",0,0.094302191958129,4.8,11.4,33,0.7
"217","15.7","0",0,"a",0,0.109109377673902,5,12.4,31,0.7
"218","17.1","0",0,"a",0,0.118966606394572,4.7,13,30,0.7
"219","18.6","0",0,"a",0,0.127502053066834,4.5,13.4,29,0.7
"220","20","0",0,"a",0,0.112305496117299,4.9,12.5,31,0.7
"221","7.1","1",0.25,"a",0.03125,0.0984409892589468,4.6,11.4,32,0.7
"222","8.5","1",0,"a",0,0.09777441660501,4.6,11.6,32,0.7
"223","10","1",0.25,"a",0.027027027027027,0.0713700065492094,5.6,9.1,37,0.7
"224","11.4","1",0.25,"a",0.027027027027027,0.0717451748555106,5.6,9.2,37,0.7
"225","12.8","1",0,"a",0,0.0175207040940007,10,0,59,0.7
"226","14.3","1",0.25,"a",0.0303030303030303,0.094302191958129,4.8,11.4,33,0.7
"227","15.7","1",0,"a",0,0.109109377673902,5,12.4,31,0.7
"228","17.1","1",0,"a",0,0.118966606394572,4.7,13,30,0.7
"229","18.6","1",0,"a",0,0.127502053066834,4.5,13.4,29,0.7
"230","20","1",0,"a",0,0.112305496117299,4.9,12.5,31,0.7
"231","7.1","2",0.75,"a",0.09375,0.0984409892589468,4.6,11.4,32,0.7
"232","8.5","2",1,"a",0.15625,0.09777441660501,4.6,11.6,32,0.7
"233","10","2",0.75,"a",0.0810810810810811,0.0713700065492094,5.6,9.1,37,0.7
"234","11.4","2",0.75,"a",0.0810810810810811,0.0717451748555106,5.6,9.2,37,0.7
"235","12.8","2",1,"a",0.0508474576271186,0.0175207040940007,10,0,59,0.7
"236","14.3","2",0.75,"a",0.0909090909090909,0.094302191958129,4.8,11.4,33,0.7
"237","15.7","2",1,"a",0.0967741935483871,0.109109377673902,5,12.4,31,0.7
"238","17.1","2",1,"a",0.1,0.118966606394572,4.7,13,30,0.7
"239","18.6","2",1,"a",0.103448275862069,0.127502053066834,4.5,13.4,29,0.7
"240","20","2",1,"a",0.0967741935483871,0.112305496117299,4.9,12.5,31,0.7
"241","7.1","0",0.636363636363636,"n",0.518518518518518,0.0882635511788136,3.6,13.4,27,0.9
"242","8.5","0",0.636363636363636,"n",0.518518518518518,0.0887044538690812,3.6,13.6,27,0.9
"243","10","0",0.636363636363636,"n",0.518518518518518,0.0891391821840443,3.6,13.6,27,0.9
"244","11.4","0",0.6,"n",0.48,0.10615113297289,3.2,14.4,25,0.9
"245","12.8","0",0.6,"n",0.517241379310345,0.0759406063968657,4,13.1,29,0.9
"246","14.3","0",0.619047619047619,"n",0.5,0.0983887207322719,3.4,14.4,26,0.9
"247","15.7","0",0.478260869565217,"n",0.423076923076923,0.0988874858478854,3.9,14.4,26,0.9
"248","17.1","0",0.478260869565217,"n",0.423076923076923,0.0993100494845971,3.9,14.6,26,0.9
"249","18.6","0",0.478260869565217,"n",0.423076923076923,0.0997270106667012,3.9,14.6,26,0.9
"250","20","0",0.478260869565217,"n",0.423076923076923,0.100138505120958,3.9,14.6,26,0.9
"251","7.1","1",0,"n",0,0.0882635511788136,3.6,13.4,27,0.9
"252","8.5","1",0,"n",0,0.0887044538690812,3.6,13.6,27,0.9
"253","10","1",0,"n",0,0.0891391821840443,3.6,13.6,27,0.9
"254","11.4","1",0,"n",0,0.10615113297289,3.2,14.4,25,0.9
"255","12.8","1",0.08,"n",0.0689655172413793,0.0759406063968657,4,13.1,29,0.9
"256","14.3","1",0,"n",0,0.0983887207322719,3.4,14.4,26,0.9
"257","15.7","1",0.217391304347826,"n",0.192307692307692,0.0988874858478854,3.9,14.4,26,0.9
"258","17.1","1",0.217391304347826,"n",0.192307692307692,0.0993100494845971,3.9,14.6,26,0.9
"259","18.6","1",0.217391304347826,"n",0.192307692307692,0.0997270106667012,3.9,14.6,26,0.9
"260","20","1",0.217391304347826,"n",0.192307692307692,0.100138505120958,3.9,14.6,26,0.9
"261","7.1","2",0.363636363636364,"n",0.296296296296296,0.0882635511788136,3.6,13.4,27,0.9
"262","8.5","2",0.363636363636364,"n",0.296296296296296,0.0887044538690812,3.6,13.6,27,0.9
"263","10","2",0.363636363636364,"n",0.296296296296296,0.0891391821840443,3.6,13.6,27,0.9
"264","11.4","2",0.4,"n",0.32,0.10615113297289,3.2,14.4,25,0.9
"265","12.8","2",0.32,"n",0.275862068965517,0.0759406063968657,4,13.1,29,0.9
"266","14.3","2",0.380952380952381,"n",0.307692307692308,0.0983887207322719,3.4,14.4,26,0.9
"267","15.7","2",0.304347826086957,"n",0.269230769230769,0.0988874858478854,3.9,14.4,26,0.9
"268","17.1","2",0.304347826086957,"n",0.269230769230769,0.0993100494845971,3.9,14.6,26,0.9
"269","18.6","2",0.304347826086957,"n",0.269230769230769,0.0997270106667012,3.9,14.6,26,0.9
"270","20","2",0.304347826086957,"n",0.269230769230769,0.100138505120958,3.9,14.6,26,0.9
"271","7.1","0",0,"a",0,0.0882635511788136,3.6,13.4,27,0.9
"272","8.5","0",0,"a",0,0.0887044538690812,3.6,13.6,27,0.9
"273","10","0",0,"a",0,0.0891391821840443,3.6,13.6,27,0.9
"274","11.4","0",0,"a",0,0.10615113297289,3.2,14.4,25,0.9
"275","12.8","0",0,"a",0,0.0759406063968657,4,13.1,29,0.9
"276","14.3","0",0,"a",0,0.0983887207322719,3.4,14.4,26,0.9
"277","15.7","0",0,"a",0,0.0988874858478854,3.9,14.4,26,0.9
"278","17.1","0",0,"a",0,0.0993100494845971,3.9,14.6,26,0.9
"279","18.6","0",0,"a",0,0.0997270106667012,3.9,14.6,26,0.9
"280","20","0",0,"a",0,0.100138505120958,3.9,14.6,26,0.9
"281","7.1","1",0.2,"a",0.037037037037037,0.0882635511788136,3.6,13.4,27,0.9
"282","8.5","1",0.2,"a",0.037037037037037,0.0887044538690812,3.6,13.6,27,0.9
"283","10","1",0.2,"a",0.037037037037037,0.0891391821840443,3.6,13.6,27,0.9
"284","11.4","1",0.2,"a",0.04,0.10615113297289,3.2,14.4,25,0.9
"285","12.8","1",0.25,"a",0.0344827586206897,0.0759406063968657,4,13.1,29,0.9
"286","14.3","1",0.2,"a",0.0384615384615385,0.0983887207322719,3.4,14.4,26,0.9
"287","15.7","1",0,"a",0,0.0988874858478854,3.9,14.4,26,0.9
"288","17.1","1",0,"a",0,0.0993100494845971,3.9,14.6,26,0.9
"289","18.6","1",0,"a",0,0.0997270106667012,3.9,14.6,26,0.9
"290","20","1",0,"a",0,0.100138505120958,3.9,14.6,26,0.9
"291","7.1","2",0.8,"a",0.148148148148148,0.0882635511788136,3.6,13.4,27,0.9
"292","8.5","2",0.8,"a",0.148148148148148,0.0887044538690812,3.6,13.6,27,0.9
"293","10","2",0.8,"a",0.148148148148148,0.0891391821840443,3.6,13.6,27,0.9
"294","11.4","2",0.8,"a",0.16,0.10615113297289,3.2,14.4,25,0.9
"295","12.8","2",0.75,"a",0.103448275862069,0.0759406063968657,4,13.1,29,0.9
"296","14.3","2",0.8,"a",0.153846153846154,0.0983887207322719,3.4,14.4,26,0.9
"297","15.7","2",1,"a",0.115384615384615,0.0988874858478854,3.9,14.4,26,0.9
"298","17.1","2",1,"a",0.115384615384615,0.0993100494845971,3.9,14.6,26,0.9
"299","18.6","2",1,"a",0.115384615384615,0.0997270106667012,3.9,14.6,26,0.9
"300","20","2",1,"a",0.115384615384615,0.100138505120958,3.9,14.6,26,0.9
